Accipitriformes;Accipitridae;779863;Buteo buteo vulpinus;;Buteo buteo vulpinus Gloger, 1833
Accipitriformes;Accipitridae;441699;Buteo jamaicensis;Buse à queue rousse;Buteo jamaicensis (Gmelin, 1788)
Accipitriformes;Accipitridae;813847;Falco jamaicensis;Buse à queue rousse;Buteo jamaicensis (Gmelin, 1788)
Accipitriformes;Accipitridae;2630;Buteo lagopus;Buse pattue;Buteo lagopus (Pontoppidan, 1763)
Accipitriformes;Accipitridae;2632;Falco lagopus;Buse pattue;Buteo lagopus (Pontoppidan, 1763)
Accipitriformes;Accipitridae;441671;Asturina nitida;Buse cendrée;Buteo nitidus (Latham, 1790)
Accipitriformes;Accipitridae;626245;Buteo nitidus;Buse cendrée;Buteo nitidus (Latham, 1790)
Accipitriformes;Accipitridae;782522;Falco nitidus;Buse cendrée;Buteo nitidus (Latham, 1790)
Accipitriformes;Accipitridae;441701;Buteo platypterus;Petite Buse ;Buteo platypterus (Vieillot, 1823)
Accipitriformes;Accipitridae;416687;Buteo ferox;Buse féroce;Buteo rufinus (Cretzschmar, 1827)
Accipitriformes;Accipitridae;2627;Buteo rufinus;Buse féroce;Buteo rufinus (Cretzschmar, 1827)
Accipitriformes;Accipitridae;2629;Falco rufinus;Buse féroce;Buteo rufinus (Cretzschmar, 1827)
Accipitriformes;Accipitridae;779895;Buteo rufinus cirtensis;;Buteo rufinus cirtensis (Levaillant, 1850)
Accipitriformes;Accipitridae;441766;Chondrohierax uncinatus;Milan bec-en-croc, Bec-en-croc de Temminck;Chondrohierax uncinatus (Temminck, 1822)
Accipitriformes;Accipitridae;2876;Circaetus ferox;Circaète Jean-le-Blanc;Circaetus gallicus (Gmelin, 1788)
Accipitriformes;Accipitridae;2873;Circaetus gallicus;Circaète Jean-le-Blanc;Circaetus gallicus (Gmelin, 1788)
Accipitriformes;Accipitridae;2875;Falco gallicus;Circaète Jean-le-Blanc;Circaetus gallicus (Gmelin, 1788)
Accipitriformes;Accipitridae;2878;Circus aeruginosus;Busard des roseaux;Circus aeruginosus (Linnaeus, 1758)
Accipitriformes;Accipitridae;2880;Falco aeruginosus;Busard des roseaux;Circus aeruginosus (Linnaeus, 1758)
